a,ka,hgg,callret-3,callret-4
http://le-online.de/place/1000,http://le-online.de/place/alter-johannisfriedhof,http://le-online.de/place/alterjohannisfriedhof,"Adresse(Prager Straße ,04103,Leipzig)",Point(12.3953192 51.3321392)
http://le-online.de/place/1001,http://le-online.de/place/botanischer-garten-der-universitaet-leipzig,http://le-online.de/place/botanischergartenderuniversitaetleipzig,"Adresse(Linnéstr. 1,04103,Leipzig)",Point(12.39259 51.32999)
http://le-online.de/place/1002,http://le-online.de/place/duft--und-tastgarten-am-botanischen-garten,http://le-online.de/place/duftundtastgartenambotanischengarten,"Adresse(Friedenspark - Am Hospitaltor,04103,Leipzig)",Point(12.3891818 51.3302732)
http://le-online.de/place/1003,http://le-online.de/place/freizeitpark-loessnig,http://le-online.de/place/freizeitparkloessnig,"Adresse(Am Silbersee,04279,Leipzig)",Point( )
http://le-online.de/place/1004,http://le-online.de/place/stadtgarten-connewitz,http://le-online.de/place/stadtgartenconnewitz,"Adresse(Kohrener Str. / Burgstädter Str. - Eingang Kohrener Str.,04277,Leipzig)",Point(12.3850938 51.30352)
http://le-online.de/place/1006,http://le-online.de/place/volkspark-kleinzschocher,http://le-online.de/place/volksparkkleinzschocher,"Adresse(Küchenholzwiese,04249,Leipzig)",Point(12.2965373 51.2789889)
http://le-online.de/place/1007,http://le-online.de/place/wildpark-der-stadt-leipzig,http://le-online.de/place/wildparkderstadtleipzig,"Adresse(Koburger Straße 12a,04277,Leipzig)",Point(12.372148 51.2978292)
http://le-online.de/place/1008,http://le-online.de/place/zoologischer-garten-leipzig-(gmbh),http://le-online.de/place/zoologischergartenleipziggmbh,"Adresse(Pfaffendorfer Str. 29,04105,Leipzig)",Point(12.3689185 51.3516682)
http://le-online.de/place/1009,http://le-online.de/place/europa---haus-leipzig-e.v.,http://le-online.de/place/europahausleipzigev,"Adresse(Markt 10 / Handwerkerpassage,04109,Leipzig)",Point(12.3736659 51.3406761)
http://le-online.de/place/1010,http://le-online.de/place/institut-francais-de-leipzig,http://le-online.de/place/institutfrancaisdeleipzig,"Adresse(Thomaskirchhof 20 - 2. Etage,04109,Leipzig)",Point(12.3720464 51.3398754)
http://le-online.de/place/1011,http://le-online.de/place/polnisches-institut,http://le-online.de/place/polnischesinstitut,"Adresse(Markt 10,04109,Leipzig)",Point(12.3737552 51.3406878)
http://le-online.de/place/1012,http://le-online.de/place/generalkonsulat-der-usa,http://le-online.de/place/generalkonsulatderusa,"Adresse(Wilhelm-Seyfferth-Str. 4,04107,Leipzig)",Point(12.36772 51.33389)
http://le-online.de/place/1013,http://le-online.de/place/schwedisches-honorarkonsulat,http://le-online.de/place/schwedischeshonorarkonsulat,"Adresse(Messe - Allee 2,04356,Leipzig)",Point(12.3958258 51.3939529)
http://le-online.de/place/1014,http://le-online.de/place/bibliotheca-albertina---universitaetsbibliothek-leipzig,http://le-online.de/place/bibliothecaalbertinauniversitaetsbibliothekleipzig,"Adresse(Beethovenstr. 6,04107,Leipzig)",Point(12.36854 51.33241)
http://le-online.de/place/1015,http://le-online.de/place/cospuden---parkfoyer_infopoint,http://le-online.de/place/cospudenparkfoyerinfopoint,"Adresse(Brückenstr.,04249,Leipzig)",Point(12.3348431 51.2992738)
http://le-online.de/place/1016,http://le-online.de/place/kunsthalle-der-sparkasse-leipzig,http://le-online.de/place/kunsthalledersparkasseleipzig,"Adresse(Otto-Schill-Str. 4a,04109,Leipzig)",Point(12.36986 51.33842)
http://le-online.de/place/1017,http://le-online.de/place/durchblick-galerie,http://le-online.de/place/durchblickgalerie,"Adresse(Mainzer Str. 7,04109,Leipzig)",Point(12.355162 51.3366482)
http://le-online.de/place/1018,http://le-online.de/place/phyllodrom-e.v.,http://le-online.de/place/phyllodromev,"Adresse(Delitzscher Landstr. 38,04158,Leipzig)",Point(12.3770428 51.391676)
http://le-online.de/place/1019,http://le-online.de/place/plagwitz---konsumgenossenschaft-leipzig-eg,http://le-online.de/place/plagwitzkonsumgenossenschaftleipzigeg,"Adresse(Industriestr. 85 - 95,04229,Leipzig)",Point(12.3298173 51.3280202)
http://le-online.de/place/1020,http://le-online.de/place/rathaussaal---rathaus-wiederitzsch,http://le-online.de/place/rathaussaalrathauswiederitzsch,"Adresse(Delitzscher Landstr. 55,04158,Leipzig - Wiederitzsch)",Point(12.37363 51.39367)
http://le-online.de/place/1021,http://le-online.de/place/galerie-am-nikolaikirchhof-(verkaufsgalerie),http://le-online.de/place/galerieamnikolaikirchhofverkaufsgalerie,"Adresse(Ritterstr. 5,04109,Leipzig)",Point(12.3791334 51.3409045)
http://le-online.de/place/1022,http://le-online.de/place/galerie-fÜr-zeitgenÖssische-kunst-leipzig---altbau,http://le-online.de/place/galeriefrzeitgenssischekunstleipzigaltbau,"Adresse(Karl-Tauchnitz-Str. 11,04107,Leipzig)",Point(12.36529 51.33396)
http://le-online.de/place/1023,http://le-online.de/place/galerie-fÜr-zeitgenÖssische-kunst-leipzig---neubau,http://le-online.de/place/galeriefrzeitgenssischekunstleipzigneubau,"Adresse(Karl-Tauchnitz-Str. 11,04107,Leipzig)",Point(12.36529 51.33396)
http://le-online.de/place/1024,http://le-online.de/place/altes-rathaus,http://le-online.de/place/altesrathaus,"Adresse(Markt 1,04109,Leipzig)",Point(12.3753423 51.340382)
